,thread_id,thread_title,thread_link,thread_author,thread_startDate,thread_replies,thread_views,post_id,post_username,post_userTitle,post_userNbMessages,post_userLikesReceived,post_userTrophyPoints,post_DateTime,post_like,post_agree,post_useful,post_funny,post_informative,post_friendly,post_optimistic,post_hug,post_number,post_messageText,post_quoteText
75777,thread-125852,Please help,https://www.diabetes.co.uk/forum/threads/please-help.125852/,appleUK,"Sep 1, 2017",25,"1,895",post-1549602,appleUK,Member,11,3,23.0,"Sep 2, 2017 at 9:57 AM",0,0,0,0,0,0,0,0,#19,"Yeah I had an eye test done just over a year ago and was given some computer glasses, they said my eyesight is good. I sleep 8 hours each night but have heavy blinking and lead feeling eyes mostly all day, same with very frequent urination in just completely stumped haha.","azure said: Perhaps you just need more sleep? Have you had your eyesight tested? If your vision needs correcting,that can cause a feeling of tired, dry eyes. Click to expand..."
67423,thread-129513,Worried my daughter has type 2 diabetes,https://www.diabetes.co.uk/forum/threads/worried-my-daughter-has-type-2-diabetes.129513/,Luca2016,"Nov 16, 2017",5,694,post-1620900,Luca2016,Prediabetes Well-Known Member,61,21,28.0,"Nov 16, 2017 at 6:14 PM",2,0,0,0,0,0,0,0,#6,"We do eat pretty low carbs at home, she has a lot of carbs at day care though which is really worrying me, I'm going to ask if she can start having a packed lunch from home.","SimonCrox said: None of the random values have been more than 11.1 mmol/L, and none of the fasting levels have been more than 7.0 mmol/L. So none of the values are in the diabetic range. The values after the weetabix are a bit higher than normal, but are not in the diabetic range; the fingerprick glucose tests are not perfectly accurate, but none of these values are in the diabetic range. I guess that you are all taking care with healthy diet and lifestyle, like all thewestern population should best wishes Click to expand..."
185155,thread-58209,What does this sound like to you - hypoglycemia symptoms but BS ok,https://www.diabetes.co.uk/forum/threads/what-does-this-sound-like-to-you-hypoglycemia-symptoms-but-bs-ok.58209/,Glottis,"May 13, 2014",7,"1,627",post-541811,,Other Moderator,"17,326","31,730",298.0,"May 13, 2014 at 7:49 PM",2,0,0,0,0,0,0,0,#5,Rice krispies and skimmed milk would shoot my blood glucose sky high. What makes you think they are low GI? This site has them at 82 GI http://www.gilisting.com/glycemic-index/2007/02/gi-of-rice-krispies-breakfast-cereal.html And skimmed milk has the highest GI of all the milks. Why not try a protein breakfast (scrambled eggs is ideal) and see what a difference it makes.,
221865,thread-26989,Hair 'roots' sore!,https://www.diabetes.co.uk/forum/threads/hair-roots-sore.26989/,anna29,"Feb 19, 2012",8,"10,945",post-249255,anna29,Type 2 Well-Known Member,"4,795","3,145",178.0,"Feb 19, 2012 at 1:36 PM",0,0,0,0,0,0,0,0,#1,"Hi all. From time to time , my hair roots get so tender and painfull . Am wondering IF the insulin I take can cause this? Anyone else ever had this tooo ? If 'not' it must be my hormones eh. . . Anna.",
49944,thread-136346,Should I Classify Myself as ‘In Remission’?,https://www.diabetes.co.uk/forum/threads/should-i-classify-myself-as-%E2%80%98in-remission%E2%80%99.136346/,Rachox,"Feb 22, 2018",133,"13,400",post-1705780,bulkbiker,Type 2 Master,"12,684","9,684",298.0,"Feb 22, 2018 at 6:25 PM",0,0,0,1,0,0,0,0,#42,Wow.. we agree on something.. I knew it had to happen one day...,"Boo1979 said: I think its rather pointless semantics tbh My perspective is that T2 diabetes is a chronic health condition with multi factoral causation that it is possible for some / many to gain good control of, but which is always lurking in the background waiting to bite you in the bum given half a chance To steal a phrase A Diabetes diagnosis is for life, not just for Christmas Click to expand..."
1407,thread-164814,Visceral fat,https://www.diabetes.co.uk/forum/threads/visceral-fat.164814/,Jessielouiseb,"May 30, 2019",18,520,post-2063584,Jessielouiseb,Type 2 Well-Known Member,66,36,38.0,"May 30, 2019 at 10:10 PM",1,0,0,0,0,1,0,0,#1,"so Ive been very interested In the Newcastle diet and the blood sugar diet, about how once the visceral fat has been removed the organs function back to normal.... I have been losing weight since being diagnosed in March, I lost 2 Stone so far and have another 6 to lose...for 6 weeks now my blood sugar has been back to normal which Im very pleased with.. My main question is, even though my blood sugars are normal now can I still have a lot of visceral fat around and in my organs still? I guess with more weight loss my diabetes would improve even more? Id like to try the blood sugar diet or Newcastle diet to get rid of visceral fat.",
18381,thread-159940,Hypertension as a risk for type 2?,https://www.diabetes.co.uk/forum/threads/hypertension-as-a-risk-for-type-2.159940/,Gardengnome,"Jan 3, 2019",23,869,post-1955136,Bluetit1802,Type 2 (in remission!) Guru,"24,058","30,031",298.0,"Jan 4, 2019 at 12:18 PM",0,1,0,0,0,0,0,0,#8,"Do you know what your BP was when put on the tablets, and what is it now? How long have you been on the tablets? I can't answer your question about the Q-Risk calculation, but it is a one size fits all calculation, and has a lot of ridiculous anomalies. The same question could be asked about diabetes. You tick yes if you are diabetic. T1 and T2 are the only choices and there is no option for entering the HbA1c or any other option. Even though my GP has removed me from the register she still includes T2 in the calculation, which more or less doubles the risk factor. If I were you I wouldn't be worried in the least about the risk score.",Gardengnome said: I feel this is rather a silly question but I'll ask it nonetheless. I realise high blood pressure is a risk for T2D but does this still apply if one takes medication and has it well controlled? The fact is that if one completes the QRisk online you are asked if you take meds for hypertension and it will increase your risk if the answer is 'Yes' regardless of what your blood pressure actually is. Click to expand...
212095,thread-38349,What does my blood test result mean?,https://www.diabetes.co.uk/forum/threads/what-does-my-blood-test-result-mean.38349/,confused1,"Mar 9, 2013",11,"4,968",post-358233,confused1,Member,9,0,21.0,"Mar 9, 2013 at 1:52 PM",0,0,0,0,0,0,0,0,#1,"Hi all, I'm a male in my twenties and recently had a blood test, but don't know what to think about it. I have an uncle who's diabetic and was diagnosed in his thirties. Any help understanding would be much appreciated.",
62383,thread-131446,Being high lately (Type 1 diabetes),https://www.diabetes.co.uk/forum/threads/being-high-lately-type-1-diabetes.131446/,Wowsap18482,"Dec 29, 2017",7,417,post-1657228,bushbri,Type 1 Active Member,26,16,43.0,"Dec 30, 2017 at 1:04 PM",1,0,0,0,0,0,0,0,#7,Got the same issue over the last 6 days and my afternoon level in the 20s with no relative changes to food or activity. My average has jumped feroz a fine 9 to 12.5 which is frustrating,
254744,thread-9050,trying to lose weight....,https://www.diabetes.co.uk/forum/threads/trying-to-lose-weight.9050/,libbyAPRIL,"Jun 30, 2009",6,731,post-85615,wallycorker,Well-Known Member,613,14,38.0,"Jul 2, 2009 at 2:45 PM",0,0,0,0,0,0,0,0,#7,It's difficult anyone to advise you without you telling people what you are eating. Why not try?,"Bloated said: Hi, im new to all this too and trying to lose weight - have followed virtually fat and sugar free diet and have put on half a stone in last two weeks. So have basically bit the bullet and joined this in hope that I can get advice from others who have most likely at some time been through the same thing Click to expand..."
