,thread_id,thread_title,thread_link,thread_author,thread_startDate,thread_replies,thread_views,post_id,post_username,post_userTitle,post_userNbMessages,post_userLikesReceived,post_userTrophyPoints,post_DateTime,post_like,post_agree,post_useful,post_funny,post_informative,post_friendly,post_optimistic,post_hug,post_number,post_messageText,post_quoteText
102832,thread-113234,Can you go too low?,https://www.diabetes.co.uk/forum/threads/can-you-go-too-low.113234/,Inchindown,"Dec 19, 2016",16,"9,053",post-1335330,Resurgam,Type 2 (in remission!) Expert,"5,926","3,883",198.0,"Dec 19, 2016 at 6:42 PM",1,0,0,0,0,0,0,0,#2,That's really a question for your doctor. You should go armed with all the data you have on your BG levels.,
72414,thread-127514,How to lower A1c in a month,https://www.diabetes.co.uk/forum/threads/how-to-lower-a1c-in-a-month.127514/,andilinda01,"Oct 8, 2017",15,"9,927",post-1582575,RosieLKH,Type 2 Well-Known Member,736,"1,256",178.0,"Oct 8, 2017 at 11:03 PM",1,1,0,0,0,0,0,0,#14,"I echo the need to test your BS yourself. I'm on metformin and gliclazide and I was on the verge of being refused an eye op. because my BS had gone up. I went very low carb and got it down, but I did have a hypo one evening when it went down to 3.5. That was the gliclazide at work and my DN suggested that if I knew I was getting my BS down to about 5 or 6 I should also drop a tablet out (I was on 3 a day). I suggest to run any thing you decide to do through with your doctor.",
247518,thread-13991,normal BG readings,https://www.diabetes.co.uk/forum/threads/normal-bg-readings.13991/,MING,"Mar 25, 2010",4,639,post-127338,MING,Well-Known Member,180,2,38.0,"Mar 26, 2010 at 3:41 PM",0,0,0,0,0,0,0,0,#5,"If the weather gets better I can potter in the garden... right now its pouring cold rain. I do go walks on good days, I know what you mean but its definitely slug mode :twisted:",
6146,thread-163564,First Time in 63 years,https://www.diabetes.co.uk/forum/threads/first-time-in-63-years.163564/,ardvark,"Apr 21, 2019",16,555,post-2034446,ardvark,Type 2 Well-Known Member,81,18,48.0,"Apr 22, 2019 at 11:39 AM",1,0,0,0,0,0,0,0,#12,I was thinking of having 2 squares as pudding after my tea. 2.4g of carbs and 1.4g of that sugar.,
135983,thread-89856,apidra insulin,https://www.diabetes.co.uk/forum/threads/apidra-insulin.89856/,Sonnyb2,"Dec 31, 2015",31,"3,214",post-1020059,Sonnyb2,Type 1 Well-Known Member,421,85,68.0,"Dec 31, 2015 at 12:56 PM",0,0,0,0,0,0,0,0,#8,I always get highs in middle of day,
173116,thread-65398,Are we losing the plot?,https://www.diabetes.co.uk/forum/threads/are-we-losing-the-plot.65398/,AndBreathe,"Oct 6, 2014",356,"28,172",post-649937,Pipp,Type 2 Expert,"6,939","10,834",198.0,"Oct 10, 2014 at 12:33 PM",0,0,0,0,0,0,0,0,#349,"I want a definition of 'unsavoury and poisonous' from admin please. Also, a response to what @mo1905 has told us, because this all makes me feel very very uneasy. I do not know if anything I post could be defined in the same way. I have had occasions when some posts directed at me have, in my opinion been unsavoury, yet the poster has not been banned. Also, as much as I respect @mo1905 , and trust him to give an accurate account there has to be an opportunity to have the opinion of the admin team, regarding this, too.","mo1905 said: Exactly my point. I'm not suggesting anyone should never receive a lifetime ban but that is a serious thing in my opinion. I'm aware that Paul occasionally ruffled feathers but he was never ""poisonous or unsavoury"". He was passionate about low carb and helping others. My main point though is this happened whilst you were all discussing openness, fairness and accountability which is a bit strange. Also, if Paul really deserved this ( which I doubt very much ), whoever gave the ban should at least have had the courage to fully explain why instead of hiding behind automatic messaging. This is a low point for DCUK in my opinion. Click to expand..."
74109,thread-126807,Are you ashamed to have Type 2 Diabetes?,https://www.diabetes.co.uk/forum/threads/are-you-ashamed-to-have-type-2-diabetes.126807/,kmtech,"Sep 22, 2017",45,"3,185",post-1567759,Japes,LADA Well-Known Member,959,"2,355",158.0,"Sep 22, 2017 at 10:35 PM",1,1,0,0,0,0,0,0,#18,"No, not ashamed of having diabetes. Frustrated at times, strangely grateful at others - I'm now probably healthier than I was because of all the dietary changes and exercise changes now in place which after two years are almost automatic, especially now I'm accepting it will always be subject to change. I explain to anyone who's interested enough to ask which type I have, I continue to de-bunk myths, I don't bother with those who are convinced they know better than me how I should be dealing with it, I ignore the press and try not to scare my neighbour by shouting at the radio if the news has yet another diabetes story liable to make me cross. I am enormously grateful to several Type 1s in my life who have been supportive since day 1, two of whom sought me out at work as soon as the gossip grapevine had got to work post diagnosis and made it abundantly clear they would be supportive any way they could, as they'd always appreciated the support I'd apparently given on some of their difficult days.They never make me bad about being Type 2 as we respect each other's struggles and don't try to give inappropriate advice.",
251554,thread-10763,Pumps?,https://www.diabetes.co.uk/forum/threads/pumps.10763/,burtybob,"Oct 1, 2009",1,663,post-100968,burtybob,Member,24,0,21.0,"Oct 1, 2009 at 9:38 PM",0,0,0,0,0,0,0,0,#1,"Good evening one & all, just wondering what pumps are available on the nhs or is that dependant on ur postcode like most other things! thanks in advance for any replies.",
126835,thread-73242,Type 1 son will not wake up,https://www.diabetes.co.uk/forum/threads/type-1-son-will-not-wake-up.73242/,duggiedamson,"Mar 8, 2015",22,"4,760",post-792915,duggiedamson,Parent Member,5,0,41.0,"Mar 8, 2015 at 7:55 PM",0,0,0,0,0,0,0,0,#1,"My 16 year old is now on the new Medtronic pump which emits an alarm when he is low or high. Unfortunately, despite it cutting off the background insulin when he is low he can still drop to dangerous levels at night. As he is a very deep sleeper he never wakes up when high/low and my wife has got up with him for over 10 years now. She is shattered and so am I. She has to check his blood 3 times per night. We tried a baby monitor recently but it didnt pick up the alarm signal so we still cant hear the alarm in our room. I dont know if there is any way he will get back his independence and be able to live away. Has anyone any ideas?",
91211,thread-118691,metformin,https://www.diabetes.co.uk/forum/threads/metformin.118691/,Terri333,"Apr 1, 2017",5,543,post-1428813,daisy1,Type 2 Legend,"26,460","4,870",248.0,"Apr 1, 2017 at 4:16 PM",0,0,0,0,0,0,0,0,#5,"@Terri333 Hello Terri and welcome to the Forum Here is the Basic Information we give to new members and I hope you will find it useful. Ask questions and someone will be able to help. BASIC INFORMATION FOR NEW MEMBERS Diabetes is the general term to describe people who have blood that is sweeter than normal. A number of different types of diabetes exist. A diagnosis of diabetes tends to be a big shock for most of us. Its far from the end of the world though and on this forum you'll find well over 147,000 people who are demonstrating this. On the forum we have found that with the number of new people being diagnosed with diabetes each day, sometimes the NHS is not being able to give all the advice it would perhaps like to deliver - particularly with regards to people with type 2 diabetes. The role of carbohydrate Carbohydrates are a factor in diabetes because they ultimately break down into sugar (glucose) within our blood. We then need enough insulin to either convert the blood sugar into energy for our body, or to store the blood sugar as body fat. If the amount of carbohydrate we take in is more than our bodys own (or injected) insulin can cope with, then our blood sugar will rise. The bad news Research indicates that raised blood sugar levels over a period of years can lead to organ damage, commonly referred to as diabetic complications . The good news People on the forum here have shown that there is plenty of opportunity to keep blood sugar levels from going too high. Its a daily task but its within our reach and its well worth the effort. Controlling your carbs The info below is primarily aimed at people with type 2 diabetes, however, it may also be of benefit for other types of diabetes as well. There are two approaches to controlling your carbs: Reduce your carbohydrate intake Choose better carbohydrates Reduce your carbohydrates A large number of people on this forum have chosen to reduce the amount of carbohydrates they eat as they have found this to be an effective way of improving (lowering) their blood sugar levels. The carbohydrates which tend to have the most pronounced effect on blood sugar levels tend to be starchy carbohydrates such as rice, pasta, bread, potatoes and similar root vegetables, flour based products (pastry, cakes, biscuits, battered food etc) and certain fruits. Choosing better carbohydrates The low glycaemic index diet is often favoured by healthcare professionals but some people with diabetes find that low GI does not help their blood sugar enough and may wish to cut out these foods altogether. Read more on carbohydrates and diabetes . Over 145,000 people have taken part in the Low Carb Program - a free 10 week structured education course that is helping people lose weight and reduce medication dependency by explaining the science behind carbs, insulin and GI. Eating what works for you Different people respond differently to different types of food. What works for one person may not work so well for another. The best way to see which foods are working for you is to test your blood sugar with a glucose meter. To be able to see what effect a particular type of food or meal has on your blood sugar is to do a test before the meal and then test after the meal. A test 2 hours after the meal gives a good idea of how your body has reacted to the meal. The blood sugar ranges recommended by NICE are as follows: Blood glucose ranges for type 2 diabetes Before meals: 4 to 7 mmol/l 2 hours after meals: under 8.5 mmol/l Blood glucose ranges for type 1 diabetes (adults) Before meals: 4 to 7 mmol/l 2 hours after meals: under 9 mmol/l Blood glucose ranges for type 1 diabetes (children) Before meals: 4 to 8 mmol/l 2 hours after meals: under 10 mmol/l However, those that are able to, may wish to keep blood sugar levels below the NICE after meal targets. Access to blood glucose test strips The NICE guidelines suggest that people newly diagnosed with type 2 diabetes should be offered: structured education to every person and/or their carer at and around the time of diagnosis, with annual reinforcement and review self-monitoring of plasma glucose to a person newly diagnosed with type 2 diabetes only as an integral part of his or her self-management education Therefore both structured education and self-monitoring of blood glucose should be offered to people with type 2 diabetes. Read more on getting access to blood glucose testing supplies . You may also be interested to read questions to ask at a diabetic clinic . Note: This post has been edited from Sue/Ken's post to include up to date information. Take part in Diabetes.co.uk digital education programs and improve your understanding. They're all free. Low Carb Program - it's made front-page news of the New Scientist and The Times. Developed with 20,000 people with type 2 diabetes; 96% of people who take part recommend it... find out why Hypo Program - improve your understanding of hypos. There's a version for people with diabetes, parents/guardians of children with type 1, children with type 1 diabetes, teachers and HCPs.",
